AttrName,Type
VehicleID,ID
DataCollectedDate,datetime
NameOfTheVehicle,string
SellerType,categorical
OfferType,categorical
Price,integer
VehicleType,categorical
YearOfVehicleRegistration,integer
GearBoxType,categorical
PowerOfTheEngine,integer
ModelOfTheVehicle,string
DistranceTravelled,numeric
MonthOfVehicleRegistration,categorical
TypeOfTheFuelUsed,categorical
BrandOfTheVehicle,categorical
IsDamageRepaired,categorical
DateOfAdCreation,datetime
NumberOfPictures,boolean
ZipCode,integer
DateOfAdLastSeen,datetime
